"plot_id","closest_SW_distance_m","closest_SE_distance_m","log_closest_SW","log_closest_SE","predicted_DGR_se_only","predicted_DGR_se_only_lwr","predicted_DGR_se_only_upr","predicted_DGR_sw_se","predicted_DGR_sw_se_lwr","predicted_DGR_sw_se_upr"
"017_1",16.6839847676995,46.2750777048855,2.81444926334576,3.83460353765611,3.12196946428265,3.08223038446554,3.16170854409976,3.07228303177997,3.03084196675169,3.11372409680826
"017_2",16.0258851249695,47.2118698274752,2.77420523528885,3.85464534037153,3.12767783472593,3.08551814092633,3.16983752852554,3.06480408510963,3.01916068060679,3.11044748961247
"017_3",15.9977310175602,47.1201282808949,2.7724469007811,3.85270026176948,3.12713482194854,3.08530216617317,3.1689674777239,3.0638978378128,3.01842503409831,3.1093706415273
"017_4",15.6736711311551,46.610338772175,2.75198230660342,3.84182237858769,3.12405328336835,3.08370209821831,3.16440446851838,3.05570294802311,3.00961488198873,3.10179101405748
"017_5",15.970442556614,45.9259807835669,2.77073967359086,3.82703098707493,3.11975374619612,3.08029070488511,3.15921678750713,3.05793955228737,3.01472257309325,3.10115653148149
"017_6",125.116934627737,45.0220809474775,4.82924877703826,3.80715305714419,3.11381544668436,3.07305982828263,3.15457106508609,3.38385875607376,3.25350777511914,3.51420973702838
"019_1",19.0442932147174,97.5445031978961,2.94676748791178,4.5803087169207,3.09085497155482,2.96721425351388,3.21449568959576,3.0616600894311,2.93745999775519,3.18586018110702
"019_2",55.6609194322733,83.6717425819491,4.01927827468703,4.42690131693358,3.13566523674975,3.0072550171838,3.2640754563157,3.36105357262887,3.21513002959252,3.50697711566523
"019_3",77.1453857516695,49.3635237485805,4.34569176822819,3.89921176579666,3.13933891970576,3.08633641384703,3.19234142556449,3.40954706396204,3.30722571592559,3.51186841199849
"021_1",15.0408736050055,45.6560931491769,2.710771402274,3.82113707347188,3.11801010765426,3.0784790288302,3.15754118647832,3.03926709773819,2.9881412663388,3.09039292913759
"021_2",15.9796561189914,44.9892572896821,2.77131642064421,3.80642373437457,3.11359470755935,3.07273318583009,3.1544562292886,3.05345821373997,3.00932011329293,3.09759631418701
"021_3",15.6047416653633,45.713601609049,2.74757482097907,3.82239588182443,3.11838382579205,3.07888892662224,3.15787872496186,3.05020007247659,3.00457411157045,3.09582603338273
"021_4",15.6861814436937,46.109724274854,2.75278016196147,3.83102386647517,3.12092566875457,3.0813661620456,3.16048517546353,3.05361139184788,3.00843210494024,3.09879067875552
"021_5",16.0393768008213,46.1441508525552,2.77504674886695,3.83177021082659,3.12114384184115,3.08155401214091,3.16073367154139,3.06022712539568,3.01719585700976,3.1032583937816
"021_6",103.538970844174,46.0246746587905,4.63994807173123,3.8291776583009,3.12038477567567,3.08088378703554,3.1598857643158,3.39726877730283,3.28204448573173,3.51249306887393
"022_1",15.7146682075376,45.8157169963074,2.75459455692054,3.82462719811044,3.11904453094531,3.07958467133171,3.1585043905589,3.05272936360785,3.00793261135239,3.0975261158633
"022_2",16.1598442912576,47.2887083593287,2.78252941760455,3.85627154309454,3.12812987016233,3.08568373091297,3.17057600941169,3.06754774619319,3.02222689125551,3.11286860113087
"022_3",14.435666529849,45.6253478316181,2.66970198661411,3.82046343558029,3.11780983311698,3.07825447890916,3.1573651873248,3.02723830629052,2.9682217290005,3.08625488358053
"022_4",16.5261663992639,46.2610307243365,2.80494496716597,3.83429993766913,3.12188119788484,3.08216065733789,3.16160173843179,3.06945460465776,3.02786061287623,3.11104859643929
"022_5",15.8784292404563,45.8692442853066,2.7649615365977,3.82579483333289,3.11938936833565,3.07993321029321,3.15884552637808,3.0559917273981,3.01226850794439,3.09971494685182
"022_6",100.02683675921,44.6524249618307,4.60543851757605,3.79890861630308,3.11131027981705,3.06911594196768,3.15350461766642,3.39122388962631,3.27693170335178,3.50551607590083
"023_1",15.9181382545876,44.2791539177723,2.76745922977046,3.79051400010983,3.10873939603936,3.06454946316273,3.15292932891599,3.04863155031387,3.00140244592693,3.09586065470081
"023_2",15.1104385500232,44.4726478373766,2.71538579969028,3.79487434485431,3.11007709345931,3.06698880689616,3.15316538002247,3.03457877817236,2.98191190373738,3.08724565260734
"023_3",16.8877744457406,44.8432557946735,2.82658995456748,3.80317320472668,3.112608772706,3.07122458041369,3.15399296499831,3.06876285495784,3.02602993859994,3.11149577131573
"023_4",16.5350728747453,45.1011187560642,2.80548375372645,3.80890705232212,3.11434557613745,3.07382753188705,3.15486362038784,3.06394492832357,3.02187567437637,3.10601418227077
"023_5",14.9973226373278,46.6238020469695,2.70787169432601,3.84211118427132,3.1241360341481,3.0837538042944,3.1645182640018,3.0429967800215,2.99039938507459,3.09559417496842
"023_6",105.278924404152,46.0936286480411,4.6566132509989,3.83067473325026,3.1208235123126,3.08127688085409,3.16037014377111,3.3971174336313,3.28074955658724,3.51348531067536
"026_1",16.1271681688411,166.050666628054,2.78050531372606,5.11229296243712,2.74697138878331,2.4964755652685,2.99746721229812,2.66375000917503,2.41573706525713,2.91176295309292
