"plot_id","DGR","closest_SW_distance_m","closest_SE_distance_m","log_closest_SW","log_closest_SE"
"005_3",3.1264085393013,15.5965457105024,44.7320300321844,2.74704946092256,3.80068980054603
"004_1",3.06950581067239,15.982204327073,46.2949187478679,2.77147587369554,3.83503220880327
"016_6",3.52286770717839,119.601591784403,46.5906953722062,4.7841661506621,3.84140085107054
"015_6",2.9390008706782,114.387381938647,45.7345683058492,4.73959077512335,3.82285443003129
"037_1",3.64406343586469,16.5456632031268,46.1811687346678,2.8061240253769,3.83257211184923
"041_5",3.32468717139355,16.0406196446782,46.4870485762015,2.77512423290655,3.83917374855497
"022_4",3.83120287816245,16.5261663992639,46.2610307243365,2.80494496716597,3.83429993766913
"046_6",3.40315547414881,472.182839010014,45.9686213233626,6.15736628136079,3.82795901857794
"069_4",2.50113923545873,348.544999674401,45.017871085888,5.85376734575118,3.80705954617495
"070_1",3.02210002188976,16.2818076863399,89.1646588860254,2.79004839165468,4.49048476024837
"091_1",3.10696760450613,21.8830593627491,43.2980491218732,3.08571279240213,3.76810757907134
"097_4",3.92963299512344,17.905935958919,80.4998139390129,2.88513227569038,4.38825487310524
"079_6",4.00599129142538,49.3655355341194,48.1326328329622,3.89925251946237,3.87396038435291
"081_1",3.65521454939096,16.4055761049536,47.2062900996768,2.79762128344069,3.8545271485362
"050_2",3.24431787587341,16.6184191234557,49.6878182090062,2.81051166597756,3.90575979660046
"049_1",3.24947299187393,16.4863566829348,45.964084016391,2.80253317116195,3.82786030926751
"066_2",2.75430934292159,15.5302437431085,49.2571315771671,2.74278933202188,3.89705416073237
"067_4",4.51215371142023,16.0419362621813,49.4070162542455,2.77520630975278,3.90009244354682
"071_1",2.70467392291074,15.672679440003,45.0065294994642,2.7519190334546,3.80680757923243
"076_5",3.45162459558433,17.5186731937568,46.3278232533446,2.86326735169056,3.83574271480105
"077_5",3.13850297203395,16.5333966435152,45.0619580183464,2.80538237430031,3.80803838764072
"065_1",2.9139935023301,15.6974900606686,44.8412448075339,2.75350083082667,3.80312835891439
"072_6",3.20678857661423,77.6241301524787,46.0129826509698,4.35187833442569,3.82892358821209
"073_1",4.4301737091747,15.6679909756994,44.0151509969703,2.75161983983325,3.78453391548679
"074_2",3.00461321313639,15.6465923803861,43.6558576365062,2.75025315400507,3.77633746884934
"069_6",2.45511633150728,403.697810960552,45.7246372463833,6.00066660540315,3.82263726086948
"070_3",3.03942669362623,17.1677447385847,45.4482460839223,2.84303231733563,3.81657422986616
"051_4",3.15823685620467,16.6355184462813,47.5188177764617,2.81154007497705,3.86112579630345
"050_5",3.91522247023746,16.5214753527923,46.3960409141701,2.80466107117495,3.83721413046617
"048_1",3.2072694689332,15.8405534918906,47.1743796343991,2.76257332844566,3.85385094086394
"056_4",3.51718751980912,16.4342806802667,46.8118030804668,2.79936943860537,3.84613537369996
"057_1",4.19892593828651,15.8694686508503,49.111883017417,2.76439705261991,3.89410102216718
"080_6",4.39195942567886,49.9760762542038,46.9618609129382,3.91154441600657,3.84933580235262
"072_1",4.5028742666135,16.57205385714,48.3074536477094,2.80771777409764,3.8775858685808
"067_3",4.66964847087862,19.3670813229735,50.5828101157317,2.96357478578534,3.92361179754219
"077_6",3.34947819504444,17.5485608127003,46.0400987024894,2.86497194157494,3.82951272769346
"076_6",3.66328865661063,111.857674749216,45.3307806163096,4.71722730202573,3.81398628554813
"108_3",3.67970391099826,16.7339998405192,44.0525492184766,2.81744256834306,3.78538322172876
"107_3",3.81210064330538,15.6942029385369,42.082628470403,2.75329140458491,3.73963503012894
"101_6",4.82528539468011,54.1782807874251,47.0014094195504,3.99228010465525,3.85017758891045
"099_5",3.91614812457209,18.0533778339229,45.2136195214209,2.89333280488429,3.81139835829698
"098_3",3.94133670655472,19.2321020364128,43.1656766179142,2.95658086389263,3.76504565671612
"093_4",3.92012163003813,19.8106972079083,46.2529107774947,2.98622205483664,3.83412439770768
"092_5",4.07496206440149,16.9227492011211,46.4373285190788,2.82865882331501,3.83810362974607
"091_2",3.26904323056004,15.5844505081623,42.8849528403032,2.74627365486031,3.75852101476364
"087_5",3.1205874828109,17.1017814268289,47.7697865018944,2.83918263509011,3.86639335809932
"086_4",3.50822508705307,17.549475195546,41.3537241244955,2.86502404607707,3.7221624808845
"097_3",3.14417867039175,16.0434489525675,78.7995652089617,2.77530060130497,4.36690747919584
"096_6",2.43873372194749,92.767170114453,46.5977793280339,4.53009280688228,3.84155288609126
"104_5",2.74411235516085,16.784817005345,42.8771747968601,2.82047472809941,3.7583396283247
"103_6",4.07413217566725,48.4391189430995,43.2195401050352,3.88030772989643,3.76629271023164
"104_4",2.17187347914778,17.2660660581292,41.4977399524605,2.84874307571411,3.72563896677685
"096_1",2.84891893501241,16.6468030821455,47.1133166755522,2.81221819091239,3.85255569302624
"097_1",3.4666380847538,17.1928289627144,79.4564601916947,2.84449237611136,4.37520920108927
"087_6",3.87665039667151,52.8334421258136,49.2496995122179,3.96714436381077,3.89690326632472
"092_6",3.26523389926861,54.5562553007835,46.7545800340474,3.99923237666332,3.84491221957881
"099_6",4.00405969443487,51.4537890506734,46.5216219950952,3.94068410486815,3.83991719366119
"100_2",4.25366614104322,16.2387225960486,45.0080883775025,2.78739867376106,3.80684221534099
"101_1",4.07218061188194,14.4811493827332,50.3435772409251,2.67284776106794,3.91887104878204
"101_3",4.17480663159353,17.167285084361,46.4406454194997,2.84300554268443,3.83817505465516
"107_2",3.32633189868531,13.9068934514544,41.2650915900933,2.63238464896245,3.72001690260097
